City_ID,City,Country,Max Temp,City_Descr,Lat,Lng,Hotel Name
282,Eyl,SO,78.24,scattered clouds,7.98,49.82,Amiin Hotel
284,Alofi,NU,76.14,broken clouds,-19.06,-169.92,Taloa Heights
286,Yarmouth,US,80.6,clear sky,41.71,-70.23,The Inn At Cape Cod
289,Zhifang,CN,86.0,scattered clouds,30.35,114.32,Echarm Hotel Jiangxia Zhongbai Plaza
293,Onalaska,US,80.6,scattered clouds,43.88,-91.24,Stoney Creek Hotel & Conference Center
297,Sur,OM,84.83,overcast clouds,22.57,59.53,Sur Plaza Hotel
300,Lodwar,KE,83.44,overcast clouds,3.12,35.6,Turkwel Lodge
303,La Ronge,CA,77.0,few clouds,55.1,-105.28,Northland Motor Hotel
305,Bud,US,75.99,broken clouds,39.45,-86.18,Madsion Scouts Camp
311,Carlisle,US,84.0,broken clouds,40.2,-77.19,Fairfield Inn & Suites by Marriott Carlisle
314,Limon,CR,78.8,light intensity drizzle,10.0,-83.03,Hotel Playa Bonita
315,Hasaki,JP,77.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
319,Aden,YE,88.36,overcast clouds,12.78,45.04,Sama Emirate Hotel
320,Biabou,VC,87.8,broken clouds,13.2,-61.13,Spring Garden Resort
324,Vila Velha,BR,80.01,scattered clouds,-20.33,-40.29,Hotel Vitória Palace
329,Westport,US,84.99,scattered clouds,41.14,-73.36,The Westport Inn
330,Fukue,JP,82.98,clear sky,32.69,128.84,Goto Guesthouse Utojuku & SA Car Rental
339,Satipo,PE,89.65,broken clouds,-11.25,-74.64,Hotel Mayros
342,Banda Aceh,ID,79.3,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
343,Ishigaki,JP,84.16,scattered clouds,24.34,124.16,Hotel Peace Land Ishigakijima
353,Marrakesh,MA,86.0,few clouds,31.63,-8.01,Les Jardins de La Koutoubia
357,Mahibadhoo,MV,82.15,overcast clouds,3.78,72.97,Omadhoo Inn
360,Tautira,PF,82.4,few clouds,-17.73,-149.15,Pension Oaoa
365,Dumka,IN,80.2,clear sky,24.27,87.25,"Hotel Shashwat , Sri Shyam Plaza ,Dumka"
367,Buala,SB,81.34,light rain,-8.14,159.59,Maringe Lagoon Lodge
371,Lungi,SL,75.81,overcast clouds,9.22,-12.68,Lungi Airport Lodge
373,Bonthe,SL,76.77,light rain,7.53,-12.51,Bonthe Holiday Village
376,Gunjur,GM,80.6,scattered clouds,13.2,-16.73,Kuba Lodge
378,Abha,SA,75.2,overcast clouds,18.22,42.51,Abha Hotel
386,Calabozo,VE,76.84,overcast clouds,8.92,-67.43,Hotel Giardini
387,Edson,CA,80.6,clear sky,53.58,-116.44,Holiday Inn Express & Suites Edson
389,Katsuura,JP,78.8,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
392,Piracuruca,BR,89.42,broken clouds,-3.93,-41.71,Pousada Piracuruca
397,San Cristobal,VE,87.8,scattered clouds,7.77,-72.22,Pirineos
398,Vaitape,PF,79.32,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
403,Khargone,IN,76.82,overcast clouds,21.82,75.6,Vallabha Hotel
411,Barbacena,BR,75.2,clear sky,-21.23,-43.77,Itale Apart Hotel
414,Mbanza-Ngungu,CD,75.72,scattered clouds,-5.25,14.87,Hotel Full Business
417,Kandrian,PG,75.38,scattered clouds,-6.22,149.55,Kandrian Station
418,Kavaratti,IN,81.64,overcast clouds,10.57,72.64,Bismillah Hotel And Lodging
419,San Quintin,MX,83.19,clear sky,30.48,-115.95,Old Mill Hotel
425,Lufilufi,WS,81.91,scattered clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
430,Manaure,CO,84.97,overcast clouds,11.78,-72.44,Del mar vendra
431,Sandpoint,US,89.01,clear sky,48.28,-116.55,La Quinta Inn by Wyndham Sandpoint
433,Itoman,JP,82.4,few clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
434,Port Said,EG,79.92,clear sky,31.26,32.28,Aracan Hotel
